track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,chute_indicator,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5,target_ml_rank_minus_finish,target_top5_ml_rank_gt4,target_deep_closer_top5
PIM,2017-05-20,11,1,HONOR THE FLEET,1,BON,,,81,82,94,,98,-6,-3,97,LRL,,,,,,,,,,35,1760,,OC50000NW1LX,b,04-14-17 Stalked pace; 3 wide turn; fanned 6 wide 1/4; drew off; driving;,1,96.45,7.50,,1,1.50,1.50,3,24.29,48,24.29,72.33,48.00,,72.33,,0,5,HAMILTON S D,0,1,7,0.90,7,,42000,OC50000n1x,20170414,,5,AO,,,0.13,,1,5.25,MIDWAY GOLD,118,95,2.50,2.50,3,,2.50,,1,D,2.75,NO MORE TALK,120,LRL,FT,10,ALBERTRANI LOUIS,3-6wd; driving,122,7.50,HONOR THE FLEET,122,5,5.4,2017,0,1,-2.0,0,0
PIM,2017-05-20,11,1,HONOR THE FLEET,2,BON,,,83,75,81,,96,-11,-7,88,LRL,,,,,,,,,,27,1760,,MdSpWt,b,03-10-17 Speed 2 wide; clear into lane; ridden out;,1,97.28,2.50,,1,0.13,0.13,2,24.46,48.62,24.46,73.11,48.62,,73.11,,0,5,HAMILTON S D,0,1,7,0.70,3,,40000,MdSpWt,20170310,,1,S,,,2.50,,1,2.75,INTO THE BREACH,122,91,0.50,,1,,4.00,,1,D,0.25,CLUBMAN,122,LRL,FT,9,ALBERTRANI LOUIS,2wd turn; ridden out,122,2.50,HONOR THE FLEET,122,5,5.4,2017,0,1,-2.0,0,0
PIM,2017-05-20,11,1,HONOR THE FLEET,3,BON,,,89,90,,,97,-1,-6,92,LRL,,,,,,,,,,,1320,,MdSpWt,b,02-11-17 Stalked pace; eased out upper stretch; rallied outside winner,0,71.01,0.25,0.25,2,2.25,2.25,5,23.26,47.21,23.26,59.05,47.21,59.05,,,0,8,HAMILTON S D,0,2,8,8.10,1,,40000,MdSpWt,20170211,,7,S,,,2.00,2.00,4,6.00,HONOR THE FLEET,122,88,,,8,,1.50,1.50,2,D,2.25,ALIVE,122,LRL,FT,17,ALBERTRANI LOUIS,Stalked;eased out;bid,122,0.25,JOHNNY HOP,122,5,5.4,2017,0,1,-2.0,0,0
PIM,2017-05-20,11,10,RESILIENCY,1,BON,,,89,99,96,,,10,9,31,KEE,,,,,,,,,,41,1870,,Lexingtn-G3,,04-15-17 Came out start; pace half; stopped,0,105.05,52.50,52.50,10,0.50,,1,24.16,47.71,24.16,72.44,47.71,,72.44,98.34,0,4,GEROUX FLORENT,1,10,10,8.40,1,,200000,Lexingtn-G3,20170415,Stonestreet Lexington S.,9,G3,,,3.00,3.00,6,0.25,WEST COAST,118,33,0.50,,1,,24.00,24.00,9,D,3.25,NO DOZING,118,KEE,FT,19,ASMUSSEN STEVEN M,Came out st; pace 1/2,118,0.13,SENIOR INVESTMENT,118,9,29.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,10,RESILIENCY,2,BON,,,80,82,89,,93,-3,-1,92,FG,,,,,,,,,,37,1830,,OC50000NW1X,,03-05-17 Bmpd brk;taken back;2p1st;mvd out;hard held;4p2nd;bid1/4;best,0,102.70,1.25,,1,1.50,1.50,4,24.11,48.34,24.11,72.85,48.34,,72.85,98.45,0,4,GEROUX FLORENT,1,1,6,3.50,1,,43000,OC50000n1x,20170305,,7,AO,,,1.00,1.00,3,2.00,STAND AND CHEER,118,95,5.00,5.00,6,,0.50,,1,D,0.25,EXCITATIONS,118,FG,FT,11,ASMUSSEN STEVEN M,Bmpd brk;2p1st;4p2nd,118,1.25,RESILIENCY,118,9,29.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,10,RESILIENCY,3,BON,(Placed 3rd through disqualification),,81,73,72,,96,-8,-8,82,FG,,,,,,,,,,62,1760,,OC50000NW1X,,01-27-17 Rated inside;let out 7/16;chased stretch;out-kicked,0,99.32,2.00,2.00,4,2.00,2.00,4,24.28,49.07,24.28,74.25,49.07,,74.25,,0,5,GEROUX FLORENT,1,3,7,3.00,1,,43000,OC50000n1x,20170127,,7,AO,,,2.25,2.25,4,1.00,IT'S YOUR NICKEL,118,89,2.00,2.00,4,,2.25,2.25,5,D,0.75,SOCIETY BEAU,118,FG,FT,9,ASMUSSEN STEVEN M,Inside turns;outkicked,118,0.25,SENIOR INVESTMENT,120,9,29.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,10,RESILIENCY,4,AON,,,79,80,83,,70,1,-3,73,CD,,,,,,,,,,20,1760,,OC75000NW1X,,11-26-16 Bothered start; bid 1/4; empty late stretch,0,96.36,13.50,13.50,9,4.00,4.00,7,23.19,46.59,23.19,71.63,46.59,,71.63,,0,6,GEROUX FLORENT,1,9,11,3.80,7,,60000,OC75000n1x,20161126,,10,AO,,,2.00,2.00,4,1.50,GIANT PAYDAY,122,72,3.75,3.75,7,,5.25,5.25,7,D,0.50,CHIEF KNOW IT ALL,118,CD,FT,15,ASMUSSEN STEVEN M,Bothered st; bid 1/4,118,6.25,GUEST SUITE,122,9,29.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,10,RESILIENCY,5,AON,,,91,89,,,87,2,-5,85,CD,,,,,,,,,,,1540,,MdSpWt,,11-06-16 Tracked pace early; 5path turn; drew off stretch; driving,1,84.61,4.75,,1,2.00,2.00,2,22.9,46.97,22.90,71.51,46.97,,71.51,,0,3,SANTANA RICARDO JR,1,1,8,1.20,4,,58000,MdSpWt,20161106,,8,S,,,1.00,1.00,2,1.50,BROCKTON GEORGE,118,82,,,3,,2.50,,1,D,0.50,ARKLOW,118,CD,FT,14,ASMUSSEN STEVEN M,5path turn; drew off,118,4.75,RESILIENCY,118,9,29.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,2,HEDGE FUND,1,BON,,,87,92,102,,100,0,-1,103,HAW,,,,,,,,,,27,1980,,IllDerby-G3,b,04-22-17 Switched out early; stalked pace; took over; resisted; missed,1,107.98,0.13,0.13,2,1.00,1.00,2,47.24,71.09,23.47,95.57,47.24,,71.09,95.57,0,3,VALDIVIA J JR,1,2,7,1.90,2,,250000,IllDerby-G3,20170422,Illinois Derby,5,G3,,,0.13,0.13,2,4.75,HEDGE FUND,123,106,2.00,2.00,2,,1.50,,1,D,2.25,IT'S YOUR NICKEL,123,HAW,FT,-6,PLETCHER TODD A,Took charge1/4; missed,123,0.13,MULTIPLIER,123,4,1.1,2017,0,1,-3.0,0,0
PIM,2017-05-20,11,2,HEDGE FUND,2,BON,,,104,115,111,,74,21,8,94,SUN,,,,,,,,,,50,1980,,SunDrby-G3,b,03-26-17 Pressured pace; sizable lead; inside; weakened late,0,108.10,8.25,8.25,3,1.00,,1,45.72,70.22,22.26,95.71,45.72,,70.22,95.71,0,4,ORTIZ JOSE L,1,3,11,7.50,2,,800000,SunDrby-G3,20170326,Sunland Derby,9,G3,,,1.00,,1,4.50,CONQUEST MO MONEY,122,88,0.50,,1,,6.50,6.50,3,D,0.25,HEDGE FUND,122,SUN,FT,13,PLETCHER TODD A,Pace; weakened late,122,3.75,HENCE,122,4,1.1,2017,0,1,-3.0,0,0
