year,race_date,track_code,race_number,horse_name,horse_name_key,finish_position,finish_status
2017,2017-05-20,PIM,11,No Mo Dough,no mo dough,1,
2017,2017-05-20,PIM,11,Time To Travel,time to travel,2,
2017,2017-05-20,PIM,11,True Timber,true timber,3,
2017,2017-05-20,PIM,11,Honor The Fleet,honor the fleet,4,
2017,2017-05-20,PIM,11,Society Beau,society beau,5,
2017,2017-05-20,PIM,11,Hedge Fund,hedge fund,6,
2017,2017-05-20,PIM,11,Greek Prince,greek prince,7,
2017,2017-05-20,PIM,11,Watch Me Whip,watch me whip,8,
2017,2017-05-20,PIM,11,Resiliency,resiliency,9,
2018,2018-05-19,PIM,12,Ax Man,ax man,1,
2018,2018-05-19,PIM,12,Title Ready,title ready,2,
2018,2018-05-19,PIM,12,Prince Lucky,prince lucky,3,
2018,2018-05-19,PIM,12,Pony Up,pony up,4,
2018,2018-05-19,PIM,12,Dream Baby Dream,dream baby dream,5,
2018,2018-05-19,PIM,12,Navy Commander,navy commander,6,
2019,2019-05-18,PIM,3,King for a Day,king for a day,1,
2019,2019-05-18,PIM,3,Tone Broke,tone broke,2,
2019,2019-05-18,PIM,3,V. I. P. TICKET,v. i. p. ticket,3,
2019,2019-05-18,PIM,3,Trifor Gold,trifor gold,4,
2019,2019-05-18,PIM,3,Top Line Growth,top line growth,5,
2021,2021-05-15,PIM,1,The King Cheek,the king cheek,1,
2021,2021-05-15,PIM,1,Hozier,hozier,2,
2021,2021-05-15,PIM,1,Romp,romp,3,
2021,2021-05-15,PIM,1,Golden Gulley,golden gulley,4,
2021,2021-05-15,PIM,1,Market Cap,market cap,5,
2022,2022-05-21,PIM,11,Ethereal Road,ethereal road,1,
2022,2022-05-21,PIM,11,B Dawk,b dawk,2,
2022,2022-05-21,PIM,11,Mr Jefferson,mr jefferson,3,
2022,2022-05-21,PIM,11,Ruggs,ruggs,4,
2022,2022-05-21,PIM,11,Good Skate,good skate,5,
2022,2022-05-21,PIM,11,Unikee,unikee,6,
2022,2022-05-21,PIM,11,Goldenize,goldenize,7,
2022,2022-05-21,PIM,11,Writeitontheice,writeitontheice,8,
2023,2023-05-20,PIM,4,Arabian Lion,arabian lion,1,
2023,2023-05-20,PIM,4,Tapit's Conquest,tapit's conquest,2,
2023,2023-05-20,PIM,4,Denington,denington,3,
2023,2023-05-20,PIM,4,Sheriff Ronnie,sheriff ronnie,4,
2023,2023-05-20,PIM,4,Feeling Woozy,feeling woozy,5,
2024,2024-05-18,PIM,10,Corporate Power,corporate power,1,
2024,2024-05-18,PIM,10,Gould's Gold,gould's gold,2,
2024,2024-05-18,PIM,10,Imperial Gun,imperial gun,3,
2024,2024-05-18,PIM,10,Real Macho,real macho,4,
2024,2024-05-18,PIM,10,Daily Grind,daily grind,5,
2024,2024-05-18,PIM,10,D Day Sky,d day sky,6,
2024,2024-05-18,PIM,10,Circle P,circle p,7,
2024,2024-05-18,PIM,10,Deposition,deposition,8,
2025,2025-05-17,PIM,10,Crudo,crudo,1,
2025,2025-05-17,PIM,10,Just a Fair Shake,just a fair shake,2,
2025,2025-05-17,PIM,10,Invictus,invictus,3,
2025,2025-05-17,PIM,10,Bear Claw Necklace,bear claw necklace,4,
2025,2025-05-17,PIM,10,Authentic Gallop,authentic gallop,5,
2025,2025-05-17,PIM,10,Bestfriend Rocket,bestfriend rocket,6,
2025,2025-05-17,PIM,10,Bold Diversion,bold diversion,7,
